daily_trades,daily_users,day,lifetime_trades,lifetime_users,seven_day_trades,seven_day_users,transaction_day
2607,559,2025-03-26 00:00:00.000 UTC,51482997,636081,817990,41575,2025-03-26 00:00:00+00:00
116285,12264,2025-03-25 00:00:00.000 UTC,51482997,636081,817990,41575,2025-03-25 00:00:00+00:00
121278,11836,2025-03-24 00:00:00.000 UTC,51482997,636081,817990,41575,2025-03-24 00:00:00+00:00
88781,10101,2025-03-23 00:00:00.000 UTC,51482997,636081,817990,41575,2025-03-23 00:00:00+00:00
85277,8237,2025-03-22 00:00:00.000 UTC,51482997,636081,817990,41575,2025-03-22 00:00:00+00:00
87247,9744,2025-03-21 00:00:00.000 UTC,51482997,636081,817990,41575,2025-03-21 00:00:00+00:00
154482,12153,2025-03-20 00:00:00.000 UTC,51482997,636081,817990,41575,2025-03-20 00:00:00+00:00
175220,12153,2025-03-19 00:00:00.000 UTC,51482997,636081,817990,41575,2025-03-19 00:00:00+00:00
163893,12355,2025-03-18 00:00:00.000 UTC,51482997,636081,817990,41575,2025-03-18 00:00:00+00:00
196946,12950,2025-03-17 00:00:00.000 UTC,51482997,636081,817990,41575,2025-03-17 00:00:00+00:00
185617,12419,2025-03-16 00:00:00.000 UTC,51482997,636081,817990,41575,2025-03-16 00:00:00+00:00
200465,12777,2025-03-15 00:00:00.000 UTC,51482997,636081,817990,41575,2025-03-15 00:00:00+00:00
209291,12303,2025-03-14 00:00:00.000 UTC,51482997,636081,817990,41575,2025-03-14 00:00:00+00:00
221120,12149,2025-03-13 00:00:00.000 UTC,51482997,636081,817990,41575,2025-03-13 00:00:00+00:00
204724,12753,2025-03-12 00:00:00.000 UTC,51482997,636081,817990,41575,2025-03-12 00:00:00+00:00
184187,11497,2025-03-11 00:00:00.000 UTC,51482997,636081,817990,41575,2025-03-11 00:00:00+00:00
214157,12269,2025-03-10 00:00:00.000 UTC,51482997,636081,817990,41575,2025-03-10 00:00:00+00:00
208404,12332,2025-03-09 00:00:00.000 UTC,51482997,636081,817990,41575,2025-03-09 00:00:00+00:00
232039,13774,2025-03-08 00:00:00.000 UTC,51482997,636081,817990,41575,2025-03-08 00:00:00+00:00
293174,16835,2025-03-07 00:00:00.000 UTC,51482997,636081,817990,41575,2025-03-07 00:00:00+00:00
229417,14685,2025-03-06 00:00:00.000 UTC,51482997,636081,817990,41575,2025-03-06 00:00:00+00:00
242710,15386,2025-03-05 00:00:00.000 UTC,51482997,636081,817990,41575,2025-03-05 00:00:00+00:00
201443,13191,2025-03-04 00:00:00.000 UTC,51482997,636081,817990,41575,2025-03-04 00:00:00+00:00
219061,15093,2025-03-03 00:00:00.000 UTC,51482997,636081,817990,41575,2025-03-03 00:00:00+00:00
213371,14715,2025-03-02 00:00:00.000 UTC,51482997,636081,817990,41575,2025-03-02 00:00:00+00:00
180706,12535,2025-03-01 00:00:00.000 UTC,51482997,636081,817990,41575,2025-03-01 00:00:00+00:00
201096,14323,2025-02-28 00:00:00.000 UTC,51482997,636081,817990,41575,2025-02-28 00:00:00+00:00
236718,17425,2025-02-27 00:00:00.000 UTC,51482997,636081,817990,41575,2025-02-27 00:00:00+00:00
240820,16914,2025-02-26 00:00:00.000 UTC,51482997,636081,817990,41575,2025-02-26 00:00:00+00:00
234997,17473,2025-02-25 00:00:00.000 UTC,51482997,636081,817990,41575,2025-02-25 00:00:00+00:00
270502,18700,2025-02-24 00:00:00.000 UTC,51482997,636081,817990,41575,2025-02-24 00:00:00+00:00
298377,18662,2025-02-23 00:00:00.000 UTC,51482997,636081,817990,41575,2025-02-23 00:00:00+00:00
274712,17990,2025-02-22 00:00:00.000 UTC,51482997,636081,817990,41575,2025-02-22 00:00:00+00:00
329176,19367,2025-02-21 00:00:00.000 UTC,51482997,636081,817990,41575,2025-02-21 00:00:00+00:00
321962,20210,2025-02-20 00:00:00.000 UTC,51482997,636081,817990,41575,2025-02-20 00:00:00+00:00
318696,20614,2025-02-19 00:00:00.000 UTC,51482997,636081,817990,41575,2025-02-19 00:00:00+00:00
311198,20808,2025-02-18 00:00:00.000 UTC,51482997,636081,817990,41575,2025-02-18 00:00:00+00:00
367055,23261,2025-02-17 00:00:00.000 UTC,51482997,636081,817990,41575,2025-02-17 00:00:00+00:00
352136,22288,2025-02-16 00:00:00.000 UTC,51482997,636081,817990,41575,2025-02-16 00:00:00+00:00
373957,24144,2025-02-15 00:00:00.000 UTC,51482997,636081,817990,41575,2025-02-15 00:00:00+00:00
424835,28558,2025-02-14 00:00:00.000 UTC,51482997,636081,817990,41575,2025-02-14 00:00:00+00:00
425911,29069,2025-02-13 00:00:00.000 UTC,51482997,636081,817990,41575,2025-02-13 00:00:00+00:00
518997,29937,2025-02-12 00:00:00.000 UTC,51482997,636081,817990,41575,2025-02-12 00:00:00+00:00
619415,34085,2025-02-11 00:00:00.000 UTC,51482997,636081,817990,41575,2025-02-11 00:00:00+00:00
614728,33058,2025-02-10 00:00:00.000 UTC,51482997,636081,817990,41575,2025-02-10 00:00:00+00:00
501647,27924,2025-02-09 00:00:00.000 UTC,51482997,636081,817990,41575,2025-02-09 00:00:00+00:00
387020,23830,2025-02-08 00:00:00.000 UTC,51482997,636081,817990,41575,2025-02-08 00:00:00+00:00
453054,26309,2025-02-07 00:00:00.000 UTC,51482997,636081,817990,41575,2025-02-07 00:00:00+00:00
379811,25033,2025-02-06 00:00:00.000 UTC,51482997,636081,817990,41575,2025-02-06 00:00:00+00:00
445023,28143,2025-02-05 00:00:00.000 UTC,51482997,636081,817990,41575,2025-02-05 00:00:00+00:00
374405,25857,2025-02-04 00:00:00.000 UTC,51482997,636081,817990,41575,2025-02-04 00:00:00+00:00
351253,24587,2025-02-03 00:00:00.000 UTC,51482997,636081,817990,41575,2025-02-03 00:00:00+00:00
404547,25960,2025-02-02 00:00:00.000 UTC,51482997,636081,817990,41575,2025-02-02 00:00:00+00:00
