cumulative_unique_addresses,transaction_day,unique_addresses
1,2019-06-25,1
4,2019-06-27,3
38,2019-06-28,34
344,2019-06-29,306
347,2019-07-02,3
778,2019-07-03,431
1309,2019-07-04,531
2088,2019-07-05,779
2723,2019-07-06,635
3156,2019-07-07,433
3802,2019-07-08,646
4161,2019-07-09,359
4691,2019-07-10,530
5213,2019-07-11,522
5664,2019-07-12,451
6195,2019-07-13,531
6747,2019-07-14,552
7628,2019-07-15,881
8723,2019-07-16,1095
9833,2019-07-17,1110
10847,2019-07-18,1014
11952,2019-07-19,1105
12927,2019-07-20,975
13968,2019-07-21,1041
14905,2019-07-22,937
15790,2019-07-23,885
16320,2019-07-24,530
16423,2019-07-25,103
16941,2019-07-26,518
17767,2019-07-27,826
18496,2019-07-28,729
19354,2019-07-29,858
20153,2019-07-30,799
20974,2019-07-31,821
21700,2019-08-01,726
22271,2019-08-02,571
22895,2019-08-03,624
23552,2019-08-04,657
24356,2019-08-05,804
24976,2019-08-06,620
26240,2019-08-07,1264
27656,2019-08-08,1416
28947,2019-08-09,1291
29980,2019-08-10,1033
31370,2019-08-11,1390
32685,2019-08-12,1315
33693,2019-08-13,1008
34254,2019-08-14,561
34499,2019-08-15,245
34669,2019-08-16,170
34832,2019-08-17,163
36837,2019-08-18,2005
45180,2019-08-19,8343
55332,2019-08-20,10152
67234,2019-08-21,11902
119673,2019-08-22,52439
180874,2019-08-23,61201
244311,2019-08-24,63437
285668,2019-08-25,41357
296050,2019-08-26,10382
296204,2019-08-27,154
303340,2019-08-28,7136
304007,2019-08-29,667
304706,2019-08-30,699
305293,2019-08-31,587
316239,2019-09-01,10946
348641,2019-09-02,32402
380709,2019-09-03,32068
408169,2019-09-04,27460
408999,2019-09-05,830
409138,2019-09-06,139
409264,2019-09-07,126
435791,2019-09-08,26527
465524,2019-09-09,29733
494527,2019-09-10,29003
512266,2019-09-11,17739
512782,2019-09-12,516
513687,2019-09-13,905
514351,2019-09-14,664
514887,2019-09-15,536
516046,2019-09-16,1159
517316,2019-09-17,1270
518490,2019-09-18,1174
519588,2019-09-19,1098
520572,2019-09-20,984
521456,2019-09-21,884
522444,2019-09-22,988
523093,2019-09-23,649
524056,2019-09-24,963
534684,2019-09-25,10628
564251,2019-09-26,29567
594193,2019-09-27,29942
623305,2019-09-28,29112
629426,2019-09-29,6121
631266,2019-09-30,1840
632238,2019-10-01,972
633904,2019-10-02,1666
635720,2019-10-03,1816
636974,2019-10-04,1254
638188,2019-10-05,1214
639401,2019-10-06,1213
641831,2019-10-07,2430
645797,2019-10-08,3966
648897,2019-10-09,3100
654389,2019-10-10,5492
662357,2019-10-11,7968
675337,2019-10-12,12980
684797,2019-10-13,9460
697117,2019-10-14,12320
710387,2019-10-15,13270
723751,2019-10-16,13364
740860,2019-10-17,17109
747951,2019-10-18,7091
761597,2019-10-19,13646
769518,2019-10-20,7921
778219,2019-10-21,8701
792033,2019-10-22,13814
804459,2019-10-23,12426
815792,2019-10-24,11333
826761,2019-10-25,10969
837660,2019-10-26,10899
868039,2019-10-27,30379
943729,2019-10-28,75690
1012006,2019-10-29,68277
1075422,2019-10-30,63416
1116976,2019-10-31,41554
1133125,2019-11-01,16149
1145805,2019-11-02,12680
1157945,2019-11-03,12140
1179261,2019-11-04,21316
1190765,2019-11-05,11504
1258743,2019-11-06,67978
1360536,2019-11-07,101793
1471125,2019-11-08,110589
1587476,2019-11-09,116351
1703923,2019-11-10,116447
1816807,2019-11-11,112884
1953048,2019-11-12,136241
2085207,2019-11-13,132159
2212200,2019-11-14,126993
2345283,2019-11-15,133083
2481679,2019-11-16,136396
2612887,2019-11-17,131208
2739645,2019-11-18,126758
2873150,2019-11-19,133505
2999213,2019-11-20,126063
3130892,2019-11-21,131679
3265024,2019-11-22,134132
3395830,2019-11-23,130806
3522789,2019-11-24,126959
3657970,2019-11-25,135181
3789575,2019-11-26,131605
3964103,2019-11-27,174528
4038142,2019-11-28,74039
4049560,2019-11-29,11418
4063660,2019-11-30,14100
4084359,2019-12-01,20699
4101179,2019-12-02,16820
4120816,2019-12-03,19637
4143964,2019-12-04,23148
4160852,2019-12-05,16888
4175732,2019-12-06,14880
4197290,2019-12-07,21558
4215230,2019-12-08,17940
4230562,2019-12-09,15332
4253587,2019-12-10,23025
4274424,2019-12-11,20837
4291693,2019-12-12,17269
4302707,2019-12-13,11014
4318294,2019-12-14,15587
4331592,2019-12-15,13298
4351452,2019-12-16,19860
4375747,2019-12-17,24295
4393532,2019-12-18,17785
4420720,2019-12-19,27188
4441464,2019-12-20,20744
