,date,open,high,low,close,volume
0,2023-11-12,0.15,0.1679,0.1435,0.1663,736504.5792089
1,2023-11-13,0.1666,0.1946,0.1622,0.1624,2015526.46826735
2,2023-11-14,0.1621,0.1656,0.1526,0.1604,831943.69634852
3,2023-11-15,0.1605,0.1739,0.159,0.1735,613068.39635475
4,2023-11-16,0.1735,0.1794,0.1667,0.1717,587253.0302896
5,2023-11-17,0.1718,0.1752,0.1581,0.1649,553827.66361432
6,2023-11-18,0.1647,0.1724,0.1593,0.1703,599724.88501056
7,2023-11-19,0.1702,0.171,0.1648,0.1706,655162.54427481
8,2023-11-20,0.1704,0.18362,0.1688,0.17723,488696.84994009
9,2023-11-21,0.1773,0.18558,0.173,0.17544,585277.25314618
10,2023-11-22,0.1747,0.2102,0.17458,0.20713,516758.94787146
11,2023-11-23,0.20701,0.2293,0.20701,0.21655,583030.95540102
12,2023-11-24,0.21712,0.22175,0.2006,0.20223,478762.24074427
13,2023-11-25,0.20209,0.22824,0.20079,0.21945,551818.85408104
14,2023-11-26,0.21935,0.22128,0.20248,0.20715,372270.99008258
15,2023-11-27,0.20735,0.20924,0.1964,0.20263,290550.3539738
16,2023-11-28,0.20295,0.205,0.19319,0.20129,458509.96383091
17,2023-11-29,0.20138,0.20252,0.19255,0.1929,198910.26847123
18,2023-11-30,0.19283,0.19433,0.1864,0.18725,155172.38567954
19,2023-12-01,0.18724,0.19084,0.18664,0.19017,224689.74139761
20,2023-12-02,0.19035,0.19439,0.18919,0.19334,194411.0395198
21,2023-12-03,0.19337,0.1995,0.19303,0.19708,248109.55039997
22,2023-12-04,0.1977,0.20709,0.19472,0.20511,448238.90059339
23,2023-12-05,0.20505,0.21,0.20075,0.20963,274976.53726099
24,2023-12-06,0.20963,0.21877,0.20663,0.21357,717667.17234302
25,2023-12-07,0.21377,0.22639,0.21343,0.22639,498115.19264286
26,2023-12-08,0.22648,0.2566,0.22636,0.25624,528615.98044188
27,2023-12-09,0.25633,0.2676,0.24312,0.24433,362170.73098252
28,2023-12-10,0.24455,0.25286,0.24308,0.2528,221153.04897999
29,2023-12-11,0.25288,0.2533,0.2115,0.24573,409603.29122237
30,2023-12-12,0.24549,0.2553,0.24361,0.25344,338417.2012231
31,2023-12-13,0.25321,0.25744,0.23952,0.25721,569749.3629025
32,2023-12-14,0.25844,0.25854,0.24754,0.25452,310676.4462085
33,2023-12-15,0.25468,0.25468,0.23695,0.2373,372222.24072539
34,2023-12-16,0.23728,0.27761,0.23455,0.25517,1111035.54005102
35,2023-12-17,0.25585,0.25632,0.24457,0.24707,563524.07090825
