arbitrum_trades,arbitrum_users,arbitrum_volume_usd,avalanche_trades,avalanche_users,avalanche_volume_usd,base_trades,base_users,base_volume_usd,berachain_trades,blast_trades,blast_users,blast_volume_usd,block_date,bnb_trades,bnb_users,bnb_volume_usd,ethereum_trades,ethereum_users,ethereum_volume_usd,linea_trades,linea_users,linea_volume_usd,new_users,optimism_trades,optimism_users,optimism_volume_usd,polygon_trades,polygon_users,polygon_volume_usd,returning_users,solana_trades,solana_users,solana_volume_usd,sonic_trades,sonic_users,sonic_volume_usd,total_fee_usd,total_trades,total_users,total_volume_usd
349,99,58872.805573041835,59,1,4416.83586862386,2659,5,375374.46506550285,16,0,0,,2025-03-25 00:00:00+00:00,12404,188,2469569.4396496234,149,59,82122.73819555528,9,0,103.99523685648501,213,83,7,11525.764207734786,14,8,605.0406557075202,787,1797,730,462438.4231184385,10,0,3016.8711979778195,34723.59447186887,17549,1000,3472359.447186887
5369,189,3507143.7580259424,70,3,7774.241102531124,17926,27,3678443.4348612656,62,0,0,,2025-03-24 00:00:00+00:00,5724,232,2274550.3401219994,188,65,62690.246137604394,59,3,2811.916654908947,820,638,31,116087.86508358462,94,25,6791.412713322666,968,7928,1379,2223954.606868163,30,0,12740.214536580766,119149.54314994978,38088,1788,11914954.314994978
79760,536,142703081.3748731,2484,2,5377108.424989366,19982,33,20479672.351948306,27,0,0,,2025-03-23 00:00:00+00:00,9771,266,4560872.906515981,217,65,119515.21901084522,50,0,2785.4789132190526,972,25608,381,24793414.15213688,230,48,10114.42024860802,927,4158,739,1627076.3075051433,115,0,31835.70069356613,1997136.9055198624,142402,1899,199713690.55198625
136899,984,21905586.958369587,108,0,108852.58438770156,113826,7,7261506.59295755,40,0,0,,2025-03-22 00:00:00+00:00,10510,179,3290807.465366674,121,32,79700.90226640289,4,0,271.3640878258251,896,191076,128,16251054.711612824,77,17,2692.979473591212,834,1438,461,782280.8448035729,14,0,1563.794444725631,496948.1660341578,454113,1730,49694816.60341578
7920,180,287100.8759506497,131,0,172813.39769036375,8471,11,2287403.481419071,29,0,0,,2025-03-21 00:00:00+00:00,13561,232,4031747.0434490014,145,34,83182.00849904545,34,1,4780.0424540929225,147,20583,36,577376.4018847415,38,4,2228.7096329875294,774,1679,493,1064857.453785497,21,0,7372.752886195995,85294.3906785793,52612,921,8529439.067857929
342,50,104578.95841205705,22,0,2586.7122037019826,5081,17,919943.6705469732,16,0,0,,2025-03-20 00:00:00+00:00,7011,308,2098935.2037245254,564,145,251668.3884782862,15,0,500.4277525888632,150,118,13,12393.214009715024,63,4,1314.4043625618492,798,2955,576,612353.6805689209,12,0,1690.9948706371742,40070.22300771753,16199,948,4007022.3007717533
54878,611,8712083.128935551,34,2,731.3151765974485,30287,24,1771110.606680876,28,0,0,,2025-03-19 00:00:00+00:00,6687,351,2483675.3172712643,372,153,271317.5271615017,21,0,537.2289876310575,352,51914,166,4509505.936191795,43,20,2668.26408231356,1475,3665,694,868606.4076621,14,0,1136.7712392659232,186235.11777814958,147943,1827,18623511.77781496
30203,558,11292644.987428851,49,1,6877.334732001715,40150,20,2750362.721485131,24,0,0,,2025-03-18 00:00:00+00:00,14828,470,4576104.561838867,406,126,171560.51879935796,11,0,328.6881069457144,487,28174,51,5559814.495435284,32,12,2761.7410001258286,1257,2716,685,498572.4510078631,16,0,1537.007966275051,248625.71727823236,116609,1744,24862571.727823235
16638,330,3801927.613409806,27,1,3449.891281816378,43084,13,3311607.871675842,25,0,0,,2025-03-17 00:00:00+00:00,10861,356,3528285.8241774784,381,156,153302.09221251635,32,0,1547.490672357917,332,10222,102,515788.08807543124,68,13,4449.558470489243,1313,7517,871,672065.4379311618,15,0,1808.9664871420405,119988.4576529963,88870,1645,11998845.76529963
17963,327,7730306.071743719,17,2,494.122797017925,44204,530,5873961.350590286,13,0,0,,2025-03-16 00:00:00+00:00,4246,641,1421834.9747945233,447,154,221584.09658920768,65,0,909.1758858495028,473,10858,46,332729.2692505289,42,17,3397.871032990846,1515,11281,693,711838.5043263384,12,0,208.33627929403448,162980.45242871682,89148,1988,16298045.242871681
16925,244,6938144.447410716,35,0,1038.9014147190767,38173,22,6086375.142144391,19,0,0,,2025-03-15 00:00:00+00:00,5409,272,2070298.6882284405,225,91,114312.38994273762,25,0,901.807498285712,387,10901,21,513810.5172445916,38,15,2001.3365421384713,912,3976,804,669312.7900822763,5,0,615.6895117708794,163979.38701216708,75731,1299,16397938.701216707
5095,258,2860786.798159868,58,16,8593.908891617908,24084,1135,4023880.324539141,17,1,1,1.0006153457769922,2025-03-14 00:00:00+00:00,2451,556,605668.491201949,123,57,42001.426325879016,31,20,1931.3196688212859,549,9197,160,1037009.0590175085,141,29,9494.208411379675,1643,9610,688,576461.1616834105,29,0,3527.660072876348,91695.94747533942,50837,2192,9169594.747533942
741,194,153976.51647927653,59,27,8392.996225793013,17705,1247,3463687.183746351,34,1,1,20.02675822493028,2025-03-13 00:00:00+00:00,1132,355,220984.09901436578,97,60,17794.66155149383,16,10,1165.344201217009,672,10201,196,2638716.782534537,423,41,37956.87426126907,1477,11141,623,715728.2550501808,41,0,6389.041621422981,72659.83090568466,41591,2149,7265983.090568466
10284,317,1083843.7769944505,36,15,2410.8524085778195,8839,1278,1984361.3789720258,45,4,4,361.145344873517,2025-03-12 00:00:00+00:00,459,247,78850.9552242453,94,57,17480.581578401543,26,15,1282.336071902021,669,209,73,34914.085666379484,561,78,29771.32390975124,1399,1728,503,294473.47301924357,25,0,7259.824299951835,35404.76391652603,22310,2068,3540476.391652603
405,161,41936.571208266374,59,18,4398.940195921755,3035,566,573846.6694954743,20,0,0,,2025-03-11 00:00:00+00:00,760,228,258423.77061022032,52,31,14257.766762425928,7,5,1471.1672583414286,418,363,184,119564.36577021194,131,94,2394.7264156434726,891,968,313,166879.03935641746,10,0,228.5319310588141,11857.029049173852,5810,1309,1185702.9049173852
202,67,42950.4773687786,16,7,1326.4106014420852,1665,464,386863.28893585067,8,0,0,,2025-03-10 00:00:00+00:00,732,129,429602.19141084584,73,33,12987.078017124142,0,0,,208,174,88,57828.0987549061,18,15,1635.5160486285772,675,652,226,146963.7968005462,12,0,442.6307799767136,10810.660669988916,3552,883,1081066.0669988915
615,77,34036.582985229084,29,7,704.4066710402778,1445,482,312562.59250990866,7,0,0,,2025-03-09 00:00:00+00:00,350,120,142369.36303545424,32,25,2331.2447436110006,1,1,2.61381308727,338,239,150,113498.54488733642,109,70,8294.907730755553,664,792,232,212560.02870671783,4,0,189.19398528300457,8276.101766590284,3623,1002,827610.1766590283
168,80,10574.586998838631,41,13,2520.4933593850437,1900,549,872569.9252903333,11,0,0,,2025-03-08 00:00:00+00:00,288,132,84500.85057636807,47,28,8855.58418099801,2,2,86.79639688381698,427,283,187,150388.17249724694,73,57,6089.807059324983,687,842,259,214959.67954475345,15,6,856.5431617319782,13526.564739103245,3670,1114,1352656.4739103245
191,81,27070.440385468086,36,9,2800.954158321139,806,200,203858.8039724126,15,1,1,16.336357374150968,2025-03-07 00:00:00+00:00,277,140,81669.37731808779,48,32,4940.553677781534,0,0,,354,421,263,243496.86861769608,15,12,260.43722667997827,575,1098,309,340232.93380076415,26,6,519.6394034724025,9070.823187257045,2934,929,907082.3187257046
178,75,55947.05550112712,16,9,392.80790345088303,618,280,128512.24045529985,27,1,1,59.35635875479992,2025-03-06 00:00:00+00:00,323,147,110286.88557415346,36,25,13541.797280485169,0,0,,313,395,205,195654.00648554714,57,40,1719.8621965760865,583,576,213,119207.41232365214,36,15,1605.3860921460548,6330.603140225912,2263,896,633060.3140225912
185,126,25372.701344480807,60,22,6052.477468817268,1389,195,172681.46186272864,24,0,0,,2025-03-05 00:00:00+00:00,441,208,102468.44660138912,21,16,9514.18246889408,0,0,,107,108,37,14526.436630608236,27,19,590.3556374922111,663,868,246,140260.6686937123,37,16,3230.2972306487554,4752.352397842664,3160,770,475235.2397842664
154,100,17739.35302445503,23,8,2010.1579890883163,467,188,51138.618202931866,0,1,1,9.991564550164718,2025-03-04 00:00:00+00:00,458,222,142183.6984830683,28,18,5346.864686328957,0,0,,119,94,52,9518.033570867881,61,45,1105.2411132486313,574,476,199,141630.45076097522,25,7,3870.3917255697265,3745.5280112108376,1787,693,374552.8011210837
