,daily_request_token_count,date,date_timestamp,execution_id,query_id,state,submitted_at,execution_started_at,execution_ended_at,expires_at,cancelled_at
0,19300071,2024-07-11 23:59:59,2024-07-11 23:59:59.000 UTC,01JE07B1GQQNBA8ZNY78V1VTFB,3808352,ExecutionState.COMPLETED,2024-12-01 04:23:25.977108+00:00,2024-12-01 04:23:30.607298+00:00,2024-12-01 04:23:33.749715+00:00,2025-03-01 04:23:33.749717+00:00,
1,47616780,2024-08-12 23:59:59,2024-08-12 23:59:59.000 UTC,01JE07B1GQQNBA8ZNY78V1VTFB,3808352,ExecutionState.COMPLETED,2024-12-01 04:23:25.977108+00:00,2024-12-01 04:23:30.607298+00:00,2024-12-01 04:23:33.749715+00:00,2025-03-01 04:23:33.749717+00:00,
2,20711194,2024-08-03 23:59:59,2024-08-03 23:59:59.000 UTC,01JE07B1GQQNBA8ZNY78V1VTFB,3808352,ExecutionState.COMPLETED,2024-12-01 04:23:25.977108+00:00,2024-12-01 04:23:30.607298+00:00,2024-12-01 04:23:33.749715+00:00,2025-03-01 04:23:33.749717+00:00,
3,9106498,2024-07-24 23:59:59,2024-07-24 23:59:59.000 UTC,01JE07B1GQQNBA8ZNY78V1VTFB,3808352,ExecutionState.COMPLETED,2024-12-01 04:23:25.977108+00:00,2024-12-01 04:23:30.607298+00:00,2024-12-01 04:23:33.749715+00:00,2025-03-01 04:23:33.749717+00:00,
4,16820473,2024-07-08 23:59:59,2024-07-08 23:59:59.000 UTC,01JE07B1GQQNBA8ZNY78V1VTFB,3808352,ExecutionState.COMPLETED,2024-12-01 04:23:25.977108+00:00,2024-12-01 04:23:30.607298+00:00,2024-12-01 04:23:33.749715+00:00,2025-03-01 04:23:33.749717+00:00,
5,61178419,2024-08-17 23:59:59,2024-08-17 23:59:59.000 UTC,01JE07B1GQQNBA8ZNY78V1VTFB,3808352,ExecutionState.COMPLETED,2024-12-01 04:23:25.977108+00:00,2024-12-01 04:23:30.607298+00:00,2024-12-01 04:23:33.749715+00:00,2025-03-01 04:23:33.749717+00:00,
6,1135958,2022-09-28 15:48:59,2022-09-28 15:48:59.000 UTC,01JE07B1GQQNBA8ZNY78V1VTFB,3808352,ExecutionState.COMPLETED,2024-12-01 04:23:25.977108+00:00,2024-12-01 04:23:30.607298+00:00,2024-12-01 04:23:33.749715+00:00,2025-03-01 04:23:33.749717+00:00,
7,1282992,2022-09-18 23:59:59,2022-09-18 23:59:59.000 UTC,01JE07B1GQQNBA8ZNY78V1VTFB,3808352,ExecutionState.COMPLETED,2024-12-01 04:23:25.977108+00:00,2024-12-01 04:23:30.607298+00:00,2024-12-01 04:23:33.749715+00:00,2025-03-01 04:23:33.749717+00:00,
8,1320053,2022-09-19 23:59:59,2022-09-19 23:59:59.000 UTC,01JE07B1GQQNBA8ZNY78V1VTFB,3808352,ExecutionState.COMPLETED,2024-12-01 04:23:25.977108+00:00,2024-12-01 04:23:30.607298+00:00,2024-12-01 04:23:33.749715+00:00,2025-03-01 04:23:33.749717+00:00,
9,2245976,2022-09-20 23:59:59,2022-09-20 23:59:59.000 UTC,01JE07B1GQQNBA8ZNY78V1VTFB,3808352,ExecutionState.COMPLETED,2024-12-01 04:23:25.977108+00:00,2024-12-01 04:23:30.607298+00:00,2024-12-01 04:23:33.749715+00:00,2025-03-01 04:23:33.749717+00:00,
10,1604017,2022-09-21 23:59:59,2022-09-21 23:59:59.000 UTC,01JE07B1GQQNBA8ZNY78V1VTFB,3808352,ExecutionState.COMPLETED,2024-12-01 04:23:25.977108+00:00,2024-12-01 04:23:30.607298+00:00,2024-12-01 04:23:33.749715+00:00,2025-03-01 04:23:33.749717+00:00,
11,978732,2022-09-22 23:59:59,2022-09-22 23:59:59.000 UTC,01JE07B1GQQNBA8ZNY78V1VTFB,3808352,ExecutionState.COMPLETED,2024-12-01 04:23:25.977108+00:00,2024-12-01 04:23:30.607298+00:00,2024-12-01 04:23:33.749715+00:00,2025-03-01 04:23:33.749717+00:00,
12,2030258,2022-09-29 01:00:59,2022-09-29 01:00:59.000 UTC,01JE07B1GQQNBA8ZNY78V1VTFB,3808352,ExecutionState.COMPLETED,2024-12-01 04:23:25.977108+00:00,2024-12-01 04:23:30.607298+00:00,2024-12-01 04:23:33.749715+00:00,2025-03-01 04:23:33.749717+00:00,
13,1036406,2022-09-23 23:59:59,2022-09-23 23:59:59.000 UTC,01JE07B1GQQNBA8ZNY78V1VTFB,3808352,ExecutionState.COMPLETED,2024-12-01 04:23:25.977108+00:00,2024-12-01 04:23:30.607298+00:00,2024-12-01 04:23:33.749715+00:00,2025-03-01 04:23:33.749717+00:00,
14,953788,2022-09-24 23:59:59,2022-09-24 23:59:59.000 UTC,01JE07B1GQQNBA8ZNY78V1VTFB,3808352,ExecutionState.COMPLETED,2024-12-01 04:23:25.977108+00:00,2024-12-01 04:23:30.607298+00:00,2024-12-01 04:23:33.749715+00:00,2025-03-01 04:23:33.749717+00:00,
15,2215037,2022-09-25 23:59:59,2022-09-25 23:59:59.000 UTC,01JE07B1GQQNBA8ZNY78V1VTFB,3808352,ExecutionState.COMPLETED,2024-12-01 04:23:25.977108+00:00,2024-12-01 04:23:30.607298+00:00,2024-12-01 04:23:33.749715+00:00,2025-03-01 04:23:33.749717+00:00,
16,2218386,2022-09-26 23:59:59,2022-09-26 23:59:59.000 UTC,01JE07B1GQQNBA8ZNY78V1VTFB,3808352,ExecutionState.COMPLETED,2024-12-01 04:23:25.977108+00:00,2024-12-01 04:23:30.607298+00:00,2024-12-01 04:23:33.749715+00:00,2025-03-01 04:23:33.749717+00:00,
17,2393688,2022-09-27 23:59:59,2022-09-27 23:59:59.000 UTC,01JE07B1GQQNBA8ZNY78V1VTFB,3808352,ExecutionState.COMPLETED,2024-12-01 04:23:25.977108+00:00,2024-12-01 04:23:30.607298+00:00,2024-12-01 04:23:33.749715+00:00,2025-03-01 04:23:33.749717+00:00,
18,2225822,2022-09-30 01:00:59,2022-09-30 01:00:59.000 UTC,01JE07B1GQQNBA8ZNY78V1VTFB,3808352,ExecutionState.COMPLETED,2024-12-01 04:23:25.977108+00:00,2024-12-01 04:23:30.607298+00:00,2024-12-01 04:23:33.749715+00:00,2025-03-01 04:23:33.749717+00:00,
19,2119525,2022-10-01 01:00:59,2022-10-01 01:00:59.000 UTC,01JE07B1GQQNBA8ZNY78V1VTFB,3808352,ExecutionState.COMPLETED,2024-12-01 04:23:25.977108+00:00,2024-12-01 04:23:30.607298+00:00,2024-12-01 04:23:33.749715+00:00,2025-03-01 04:23:33.749717+00:00,
20,2023520,2022-10-02 01:00:59,2022-10-02 01:00:59.000 UTC,01JE07B1GQQNBA8ZNY78V1VTFB,3808352,ExecutionState.COMPLETED,2024-12-01 04:23:25.977108+00:00,2024-12-01 04:23:30.607298+00:00,2024-12-01 04:23:33.749715+00:00,2025-03-01 04:23:33.749717+00:00,
21,1678061,2022-10-03 01:00:59,2022-10-03 01:00:59.000 UTC,01JE07B1GQQNBA8ZNY78V1VTFB,3808352,ExecutionState.COMPLETED,2024-12-01 04:23:25.977108+00:00,2024-12-01 04:23:30.607298+00:00,2024-12-01 04:23:33.749715+00:00,2025-03-01 04:23:33.749717+00:00,
22,1734432,2022-10-04 01:00:59,2022-10-04 01:00:59.000 UTC,01JE07B1GQQNBA8ZNY78V1VTFB,3808352,ExecutionState.COMPLETED,2024-12-01 04:23:25.977108+00:00,2024-12-01 04:23:30.607298+00:00,2024-12-01 04:23:33.749715+00:00,2025-03-01 04:23:33.749717+00:00,
23,1716044,2022-10-05 01:00:59,2022-10-05 01:00:59.000 UTC,01JE07B1GQQNBA8ZNY78V1VTFB,3808352,ExecutionState.COMPLETED,2024-12-01 04:23:25.977108+00:00,2024-12-01 04:23:30.607298+00:00,2024-12-01 04:23:33.749715+00:00,2025-03-01 04:23:33.749717+00:00,
24,1939862,2022-10-06 01:00:59,2022-10-06 01:00:59.000 UTC,01JE07B1GQQNBA8ZNY78V1VTFB,3808352,ExecutionState.COMPLETED,2024-12-01 04:23:25.977108+00:00,2024-12-01 04:23:30.607298+00:00,2024-12-01 04:23:33.749715+00:00,2025-03-01 04:23:33.749717+00:00,
25,2000951,2022-10-07 01:00:59,2022-10-07 01:00:59.000 UTC,01JE07B1GQQNBA8ZNY78V1VTFB,3808352,ExecutionState.COMPLETED,2024-12-01 04:23:25.977108+00:00,2024-12-01 04:23:30.607298+00:00,2024-12-01 04:23:33.749715+00:00,2025-03-01 04:23:33.749717+00:00,
