block_date,source,tokens_traded,traders,trades,volume_ton,volume_usd
2025-03-01 00:00:00+00:00,BigPump,376,351,2450,24416.547404239,80054.778111
2025-03-01 00:00:00+00:00,Blum,1065,2506,8121,136365.085360559,446679.366072
2025-03-01 00:00:00+00:00,GasPump,4,9,10,19.874168572,65.033407
2025-03-01 00:00:00+00:00,Hot,7,39,50,43.794818770,144.087138
2025-03-01 00:00:00+00:00,TonTradingBot,308,1624,10089,81347.439745575,266548.093309
2025-03-01 00:00:00+00:00,Wagmi,1,2,8,0.294575027,0.963151
2025-03-01 00:00:00+00:00,other,1,8,76,2438.730750878,7992.821789
2025-03-01 00:00:00+00:00,ton.fun,251,174,1267,28421.091557185,93176.977716
2025-03-02 00:00:00+00:00,BigPump,349,317,2327,26405.050736652,89698.916789
2025-03-02 00:00:00+00:00,Blum,1081,2441,7617,122627.740140012,417417.582147
2025-03-02 00:00:00+00:00,GasPump,3,8,10,9.318143719,31.598316
2025-03-02 00:00:00+00:00,GraFun,1,1,1,1.019674000,3.388320
2025-03-02 00:00:00+00:00,Hot,8,36,44,35.213867424,118.876183
2025-03-02 00:00:00+00:00,TonTradingBot,273,1438,8113,66536.550343705,226437.761644
2025-03-02 00:00:00+00:00,Wagmi,2,2,3,0.387722025,1.294021
2025-03-02 00:00:00+00:00,other,3,10,68,2291.028399856,7807.450702
2025-03-02 00:00:00+00:00,ton.fun,288,166,1314,24342.299656894,82906.644875
2025-03-03 00:00:00+00:00,BigPump,374,284,2815,26520.863306597,86732.815060
2025-03-03 00:00:00+00:00,Blum,1058,2564,8357,170462.571684446,560485.883031
2025-03-03 00:00:00+00:00,GasPump,5,15,19,127.038137871,429.576718
2025-03-03 00:00:00+00:00,GraFun,1,1,1,0.250000000,0.772628
2025-03-03 00:00:00+00:00,Hot,6,12,14,46.271290387,152.007015
2025-03-03 00:00:00+00:00,TonTradingBot,323,1529,8972,71846.650311683,236946.250629
2025-03-03 00:00:00+00:00,Wagmi,3,2,6,0.384216194,1.243199
2025-03-03 00:00:00+00:00,other,4,12,56,1841.799767350,6044.630097
2025-03-03 00:00:00+00:00,ton.fun,318,181,1752,27957.426952076,92138.665431
2025-03-04 00:00:00+00:00,BigPump,346,523,2610,29048.643264430,89029.509585
2025-03-04 00:00:00+00:00,Blum,1088,2448,7672,182164.167027205,558142.786213
2025-03-04 00:00:00+00:00,GasPump,5,9,12,40.101440073,122.914979
2025-03-04 00:00:00+00:00,Hot,9,15,23,29.342453047,88.721641
2025-03-04 00:00:00+00:00,TonTradingBot,293,1503,8938,74488.369025863,228209.425123
2025-03-04 00:00:00+00:00,Wagmi,1,1,1,0.087138316,0.273452
2025-03-04 00:00:00+00:00,other,4,11,31,1113.735348283,3382.551209
2025-03-04 00:00:00+00:00,ton.fun,256,171,1225,25764.390389596,79112.277212
2025-03-05 00:00:00+00:00,BigPump,319,282,2203,22837.713411968,69335.160381
2025-03-05 00:00:00+00:00,Blum,970,2277,7422,130913.043429526,397512.915988
2025-03-05 00:00:00+00:00,GasPump,4,9,12,220.397782024,661.067059
2025-03-05 00:00:00+00:00,GraFun,1,1,1,0.520288000,1.575196
2025-03-05 00:00:00+00:00,Hot,8,21,27,18.867479947,56.912089
2025-03-05 00:00:00+00:00,TonTradingBot,262,1223,6802,52701.571453365,160162.362879
2025-03-05 00:00:00+00:00,Wagmi,3,2,3,1.398010000,4.233334
2025-03-05 00:00:00+00:00,other,4,11,60,1965.807191393,5966.416124
2025-03-05 00:00:00+00:00,ton.fun,256,163,1191,26524.444654473,80592.733496
2025-03-06 00:00:00+00:00,BigPump,255,336,1717,25871.596291756,79103.062074
2025-03-06 00:00:00+00:00,Blum,1134,2728,7632,146428.454712869,446937.172367
2025-03-06 00:00:00+00:00,GasPump,4,4,7,7.771005211,23.532191
2025-03-06 00:00:00+00:00,GraFun,2,2,3,2.325693976,7.119540
2025-03-06 00:00:00+00:00,Hot,7,18,30,125.245769317,382.993112
2025-03-06 00:00:00+00:00,TonTradingBot,243,1352,6248,43555.472678897,132740.172508
2025-03-06 00:00:00+00:00,other,3,10,64,2104.986510803,6418.631991
2025-03-06 00:00:00+00:00,ton.fun,254,181,1224,21562.191357943,65720.781860
2025-03-07 00:00:00+00:00,BigPump,208,259,1443,16900.818644557,51581.218197
2025-03-07 00:00:00+00:00,Blum,893,2193,6030,76505.715853887,232053.854225
2025-03-07 00:00:00+00:00,GasPump,3,8,10,35.527748072,107.710782
2025-03-07 00:00:00+00:00,GraFun,1,1,1,0.300520400,0.908189
2025-03-07 00:00:00+00:00,Hot,6,19,31,55.481801780,167.265319
2025-03-07 00:00:00+00:00,TonTradingBot,175,862,4138,36060.284460961,109692.886131
2025-03-07 00:00:00+00:00,Wagmi,1,1,1,0.000010000,0.000030
2025-03-07 00:00:00+00:00,other,7,13,59,1424.437080588,4330.125522
2025-03-07 00:00:00+00:00,ton.fun,213,154,1274,21377.974286007,64854.732137
2025-03-08 00:00:00+00:00,BigPump,163,223,1845,14162.745410529,42075.333045
2025-03-08 00:00:00+00:00,Blum,799,1817,5145,65003.932527783,192916.131300
2025-03-08 00:00:00+00:00,GasPump,2,2,4,7.009797277,20.879923
2025-03-08 00:00:00+00:00,GraFun,2,2,2,2.087642090,6.218711
2025-03-08 00:00:00+00:00,Hot,3,8,10,11.772585914,34.999597
2025-03-08 00:00:00+00:00,TonTradingBot,141,710,3931,30652.394131379,90953.292763
2025-03-08 00:00:00+00:00,Wagmi,1,1,1,0.079728094,0.237696
2025-03-08 00:00:00+00:00,other,2,8,26,744.795589327,2210.954298
2025-03-08 00:00:00+00:00,ton.fun,138,121,601,11828.936433203,35134.416071
2025-03-09 00:00:00+00:00,BigPump,227,255,1642,16934.100620852,47540.421040
2025-03-09 00:00:00+00:00,Blum,838,1713,4863,77709.725580576,213954.827316
2025-03-09 00:00:00+00:00,GasPump,4,5,5,4.073855096,11.679099
2025-03-09 00:00:00+00:00,Hot,3,10,10,18.363440491,52.618846
2025-03-09 00:00:00+00:00,TonTradingBot,179,685,3907,32099.934763000,89115.289232
2025-03-09 00:00:00+00:00,Wagmi,2,1,4,0.306832910,0.894152
2025-03-09 00:00:00+00:00,other,1,8,57,2359.425180969,6577.901090
2025-03-09 00:00:00+00:00,ton.fun,217,128,1042,19858.614515419,55204.149576
2025-03-10 00:00:00+00:00,BigPump,237,442,1326,15768.575206940,42289.183944
2025-03-10 00:00:00+00:00,Blum,696,1774,5152,101070.278384126,268221.109403
2025-03-10 00:00:00+00:00,GasPump,3,7,8,143.302873425,387.507877
2025-03-10 00:00:00+00:00,Hot,4,15,16,45.011932882,120.183636
2025-03-10 00:00:00+00:00,TonTradingBot,169,1030,4861,43290.790154490,115375.353876
2025-03-10 00:00:00+00:00,Wagmi,2,2,3,19.427520649,52.893837
2025-03-10 00:00:00+00:00,other,7,11,52,1319.428343609,3475.786224
2025-03-10 00:00:00+00:00,ton.fun,148,136,788,17326.208004240,46142.235315
2025-03-11 00:00:00+00:00,BigPump,386,574,1752,20755.483809955,54263.591220
2025-03-11 00:00:00+00:00,Blum,730,1711,4559,115767.366314715,303991.492385
2025-03-11 00:00:00+00:00,GasPump,3,8,9,123.040993915,323.200076
2025-03-11 00:00:00+00:00,GraFun,1,1,1,1.021056800,2.595421
2025-03-11 00:00:00+00:00,Hot,3,13,15,14.553969633,38.309179
2025-03-11 00:00:00+00:00,TonTradingBot,208,815,3654,35249.493968539,92217.268433
2025-03-11 00:00:00+00:00,Wagmi,1,1,3,0.254863700,0.659520
2025-03-11 00:00:00+00:00,other,1,8,57,1801.031715412,4733.087162
2025-03-11 00:00:00+00:00,ton.fun,164,127,762,14721.895836118,38726.885469
2025-03-12 00:00:00+00:00,BigPump,259,315,1828,14531.671223097,39006.908642
2025-03-12 00:00:00+00:00,Blum,600,1447,4587,51247.884868077,137911.915344
2025-03-12 00:00:00+00:00,GasPump,2,5,6,33.447431567,90.648613
2025-03-12 00:00:00+00:00,Hot,4,10,13,33.421005093,89.165445
2025-03-12 00:00:00+00:00,TonTradingBot,114,629,2582,22407.173346567,60358.938475
2025-03-12 00:00:00+00:00,Wagmi,1,1,1,0.100000000,0.264270
2025-03-12 00:00:00+00:00,other,3,10,39,1152.024741185,3102.209566
2025-03-12 00:00:00+00:00,ton.fun,123,118,725,14268.878025613,38488.801461
2025-03-13 00:00:00+00:00,BigPump,226,270,1510,19563.579805917,53544.820614
2025-03-13 00:00:00+00:00,Blum,634,1446,4080,50502.176284032,138473.882250
2025-03-13 00:00:00+00:00,GasPump,4,6,9,122.339692310,336.565269
2025-03-13 00:00:00+00:00,Hot,6,12,17,17.595331556,48.216789
2025-03-13 00:00:00+00:00,TonTradingBot,121,541,1943,15613.454144002,42752.033827
2025-03-13 00:00:00+00:00,Wagmi,1,1,1,3.000000000,8.274802
2025-03-13 00:00:00+00:00,other,4,11,36,818.659686551,2233.196636
2025-03-13 00:00:00+00:00,ton.fun,191,136,950,14854.042466005,40649.384734
2025-03-14 00:00:00+00:00,BigPump,248,409,2031,17799.022338264,50463.767169
2025-03-14 00:00:00+00:00,Blum,653,1489,4005,47413.002809085,135653.348878
2025-03-14 00:00:00+00:00,GasPump,1,1,2,57.997760934,163.138641
2025-03-14 00:00:00+00:00,Hot,7,22,33,11.720364307,33.398232
2025-03-14 00:00:00+00:00,TonTradingBot,132,637,2645,25237.803435191,72272.896578
2025-03-14 00:00:00+00:00,Wagmi,1,5,5,68.450536920,195.842298
2025-03-14 00:00:00+00:00,other,3,9,45,1515.659159955,4353.206317
2025-03-14 00:00:00+00:00,ton.fun,191,120,1066,20415.575058909,58391.629402
2025-03-15 00:00:00+00:00,BigPump,267,316,1697,16123.067025773,51829.449115
2025-03-15 00:00:00+00:00,Blum,726,1624,4802,68063.940527304,222918.575509
2025-03-15 00:00:00+00:00,GasPump,2,5,7,30.175828125,91.150864
2025-03-15 00:00:00+00:00,Hot,9,27,38,28.324719145,92.437480
2025-03-15 00:00:00+00:00,TonTradingBot,136,741,3201,25319.649039138,82037.663632
2025-03-15 00:00:00+00:00,Wagmi,1,1,1,0.046713495,0.136324
2025-03-15 00:00:00+00:00,other,2,9,72,2323.443644581,7231.733309
2025-03-15 00:00:00+00:00,ton.fun,262,136,1368,21073.923929821,67505.259929
